127.0.0.1 - - [22/Sep/2023:09:05:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:05:44 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:05:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:07:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:07:29 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:09 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:24 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:10:35 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:16 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:19 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:19 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:19 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:19 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:20 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:22 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:22 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:11:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:00 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:03 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:05 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:05 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:05 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:05 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:06 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:06 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:06 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:06 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:06 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:08 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:08 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:08 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:08 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:26 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:29 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:30 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:58 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:38 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:54 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:44 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:21:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1243
